Phage Name	Cluster	Subcluster
20ES	A	A2
244	E	None
32HC	Z	None
39HC	B	B6
40AC	A	A17
40BC	B	B6
A3Wally	GD	GD1
Aaronocolus	BD	BD1
Abba	AO	AO3
AbbeyMikolon	BL	None
Abblin	DE	DE4
AbbyDaisy	AY	None
AbbyPaige	A	A2
Abbyshoes	A	A1
AbbysRanger	A	A4
ABCat	E	None
Abdiel	A	A4
Abidatro	AS	AS1
Abigail	EB	None
Abinghost	B	B3
Ablatia	C	C1
Abrogate	A	A1
Abscondus	CQ	CQ1
AbsoluteMadLad	B	B1
Abt2graduatex2	BG	None
ABU	B	B1
Acadian	B	B5
Acai	AU	AU1
ACFishhook	A	A3
Achebe	A	A4
Acme	A	A1
Acolyte	A	A2
Acosta	EA	EA1
Acquire49	L	L1
ActinUp	K	K1
Adahisdi	A	A1
Adaia	AX	None
AdaS	AY	None
Adat	AV	None
AddiRose	JA	None
Adelaide	EP	None
Adephagia	K	K1
Adgers	CS	CS2
Ading	C	C1
Adjutor	D	D1
Adlitam	C	C1
Adnama	E	None
Adolin	AZ	AZ1
Adonis	K	K1
Adora	CZ	CZ4
Adriana	B	B1
Adumb2043	AZ	AZ1
Adzzy	A	A2
Aegeus	L	L5
AEgle	AZ	AZ1
Aelin	B	B1
Aeneas	A	A1
Aesir	EF	None
Affeca	DE	DE1
AFIS	A	A1
Aflac	DJ	None
Agaliana	A	A1
Agape74	A	A2
Agatha	CT	None
Agent47	K	K5
Agente005	EA	EA1
AgentM	A	A5
Ageofdapage	K	K1
Aggie	N	None
Aglet	A	A3
AGrandiflora	AZ	AZ1
AgronaGT15	A	A3
Agueybana	CZ	CZ1
Ahwei	B	B4
AikoCarson	CT	None
Aikoy	AE	None
Aikyam	AY	None
Ailee	DE	DE1
AinMach	AZ	AZ7
Airmid	A	A5
Ajay	A	A1
Ajin	EF	None
Akhila	F	F1
Akino08	EB	None
Akoma	B	B3
Akoni	EK	EK2
AksarBAT	DR	None
AlainaMarie	DJ	None
Alakazam	EA	EA5
AlanGrant	B	B4
Alatato	FB	None
Alatin	CA	None
Albanese	AK	None
Albedo	EB	None
Albee	A	A4
Alberto7	A	A4
Albright	EB	None
Aledel	AK	None
Aleemily	DZ	None
Alephilan	DV	None
Alex44	EK	EK1
AlexAdler	EA	EA1
Alexphander	F	F1
Ali17	DE	DE2
Alice	C	C1
AlishaPH	K	K1
Aliter	A	A9
Alkhayr	O	None
AllBusiness	FF	None
Alleb	ED	ED1
Allegro	B	B2
AlleyCat	K	K5
Alma	A	A9
Aloe25	DJ	None
Aloeri	F	F1
AloeVera	EK	EK2
Aloki	DQ	None
Alone3	BS	None
Alpacados	CA	None
AlpineSix	F	F1
Alsaber	BD	BD3
Alsfro	A	A1
Altadena	FH	None
Altheas	EG	None
Altman	A	A1
Altostratus	FS	None
AltPhacts	B	B1
Altwerkus	B	B1
Alucard	EE	None
AlumE	CZ	CZ1
AluminumJesus	EG	None
Alvin	A	A1
Alvy	BD	BD2
Alyssamiracle	DV	None
Alyxandracam	EA	EA1
Amabiko	BE	BE2
Amao	E	None
Amataga	C	C1
Amavida	AQ	None
Amela	BD	BD3
Amelia	AS	AS2
Amelie	K	K1
AmericanBeauty	E	None
Amethyst	BD	BD2
Amgine	K	K6
AmiCi24	AS	AS3
Amigo	AQ	None
Aminay	K	K7
Amo99	CP	None
Amochick	Q	None
Amohnition	K	K6
Amok	CT	None
Amoonguss	DQ	None
Amore2	CS	CS1
Amyev	AZ	AZ1
Amymech	Q	None
AN3	A	A2
AN9	A	A2
Anakin	EF	None
Anamika	CS	CS3
Anansi	AQ	None
AnarQue	DR	None
Anatole	BV	None
Anaya	K	K1
Anaysia	A	A15
AnClar	DR	None
Anderson	B	B1
Andies	N	None
AndPeggy	CT	None
Andre	B	B1
Andrew	AS	AS3
Andris	BD	BD2
Andromedas	EA	EA2
Anedea	BE	BE1
Aneem	A	A11
Anekin	AY	None
Angel	G	G1
Angela	BE	BE1
AngelCake	B	B1
Angelica	K	K1
Angelicage	DE	DE1
Angelique	CY	CY1
Anglerfish	A	A1
AngryGiraffe	BE	BE2
AngryOrchard	CA	None
ANI8	A	A2
Anilorac	EA	EA1
Animus	BD	BD2
Anjali	FD	None
AnnabelLee	FR	None
Annadreamy	BK	BK1
AnnaL29	A	A2
AnnaLie	EB	None
Annalisa	CZ	CZ4
Annapurna	EF	None
AnnaSerena	EF	None
Annihilator	G	G1
Annihilus	BI	BI2
Annyong	A	A4
Anon	A	A15
Anselm	A	A2
Anseraureola	EE	None
Antares	EC	None
Anthony	A	A20
Antihero	B	B4
Antoinette	EA	EA1
Antonia	B	B1
Antonio	CZ	CZ1
Antrice	AS	AS2
Antsirabe	G	G5
Antuna	GA	None
Anubis	A	A3
Aoka	FO	None
Apeppi	DV	None
Apex	B	B4
Aphelion	CQ	CQ1
Apiary	CR	CR6
Apizium	B	B1
Apocalypse	K	K1
ApoKipo	AL	None
Appa	GA	None
AppleCider	AK	None
AppleCloud	CA	None
Applecrisp	K	K6
Applejack	A	A1
Appletree2	L	L1
Apricot	DN	DN3
APunk	DE	DE4
Aquarius	BU	None
Araceli	BH	None
Aragog	A	A5
AranulaLuti	EA	EA1
Arataki	DJ	None
Araxxi	EM	EM1
Arbiter	B	B2
Arby	AN	None
Arcadia	AM	None
Arcanine	A	A1
ArcherNM	A	A2
ArcherS7	C	C1
Archetta	A	A5
ArchiDore	DW	None
Archie	L	L2
Archimedes	DA	None
Archis	CV	None
ArcusAngelus	F	F1
Ardmore	F	F1
AreFloNak	AU	AU1
Ares	B	B2
Arete	EM	EM1
Argan	AU	AU6
Argena	DQ	None
Argent26	E	None
Argie	W	None
Ariadne	EC	None
Arianna	EO	None
Arib1	P	P1
Ariel	J	None
Arielagos	AN	None
Aries55	EE	None
Arissanae	A	A9
ArizonaGT	BP	None
Arlo	A	A1
ArMaWen	EK	EK1
Armstrong	EB	None
Aroostook	G	G1
Arri	DC	DC1
Arroyo	EB	None
Artemis2UCLA	A	A6
Arti	CR	CR2
Artiphact	EF	None
Artorias	DJ	None
Arturo	A	A4
ArV1	AR	None
ArV2	Singleton	None
Arzan	FI	None
Asa16	AZ	AZ1
Asapag	DN	DN1
Asayake	K	K1
Ascela	AZ	AZ1
ASegato	ED	ED2
ASerpRocky	CS	CS4
Ashballer	A	A1
Ashertheman	DE	DE1
Ashes	AZ	AZ5
Ashraf	B	B1
Ashton	EK	EK2
Ashwin	O	None
Asis	BG	None
Asriel	E	None
Asta	EA	EA1
Astartes	EK	EK2
Asten	BD	BD1
Asterius	C	C1
Astraea	C	C1
Astralis	DV	None
Astro	A	A8
Astro16	EE	None
ATCC29399BC	BU	None
ATCC29399BT	BU	None
Atcoo	P	P1
Athena	B	B3
Atiba	K	K1
Atkinbua	A	A1
Atlantean	C	C1
Atlantica	AS	AS3
Atraxa	AX	None
Atraxi	EK	EK2
Attacne	BU	None
Attis	CZ	CZ2
Attoomi	Singleton	None
Atuin	FC	None
Aubergine	EA	EA1
Aubs	F	F1
Audell	FR	None
Audrey	B	B3
Audrick	C	C1
AugsMagnumOpus	A	A3
AuntGwenStacy	Y	None
Auspice	M	M1
Austelle	B	B4
Austin	CS	CS1
AustinPowers	AK	None
Austintatious	BC	BC3
Auxilium	AY	None
Ava3	C	C1
AvadaKedavra	L	L1
Avani	F	F2
AvatarAhPeg	A	A4
Avazak	DJ	None
AvGardian	EB	None
Avian	DV	None
Avle17	A	A4
Avocado	G	G2
Avocadoman	EB	None
Avrafan	G	G1
Avvas	EE	None
Awesomesauce	F	F1
AWGoat	AP	AP4
AxeJC	BP	None
Axiom	BD	BD2
AxiPup	EA	EA1
Axumite	DR	None
Axym	CT	None
Ayotoya	DI	None
Azathoth	AN	None
Azira	CT	None
Aziz	M	M2
Azizam	EE	None
Azrael100	V	None
Aztec	EE	None
Azula	CV	None
AzulaCat	G	G1
B22	BW	None
B3	BV	None
BabeRuth	N	None
BaboJay	E	None
Babsiella	I	I1
BABullseye	A	A6
Babushka	AS	AS3
Baby16	A	A4
BabyBack	A	A2
BabyDaisy	EB	None
BabyDotz	EG	None
BabyGotBac	BG	None
BabyJohn	A	A3
Babyland	C	C1
BabyMoney	DT	None
BabyRay	A	A3
BabyYoda	EB	None
Bachaco	EB	None
Bachita	CQ	CQ1
Bachome	A	A11
BackstagePass	DB	None
BackyardAgain	C	C1
Backyardigan	A	A4
BaconCheese	EG	None
BaconJack	A	A1
Bactobuster	A	A2
BadAgartude	C	C1
Baddon	DE	DE1
Badfish	B	B1
Badger	A	A4
BadStone	E	None
Badulia	GE	None
Baee	B	B5
Baehexic	A	A2
BaghaKamala	K	K1
Bagrid	J	None
BaileyBlu	FP	None
Baine	EE	None
Baines	EA	EA1
BAjuniper	EB	None
BAKA	J	None
Bakery	DC	DC1
Ball	Singleton	None
Balloona	CT	None
Balomoji	E	None
Baloo	B	B3
Balsa	EA	EA1
BananaFence	C	C1
Bananafish	B	B2
Bandik	EA	EA1
Bangla1971	C	C1
BangNhom	A	A4
Banjo	B	B1
Banquo	CU	CU1
Bantam	DL	None
Baoshan	L	L2
Barb	DC	DC1
Barbarian	E	None
BarBear	EE	None
BarbieDoll	AU	AU6
Barbochs	CS	CS2
Barco	CV	None
Barebow	Singleton	None
Barkley26	G	G1
BarnCat	GB	None
Barnstormer	EH	None
Barnyard	H	H2
BaronJohn	EA	EA5
BarrelRoll	K	K1
BarretLemon	AO	AO2
Barriga	A	A1
Barroma	EK	EK2
BarrowTuph	A	A1
BarryBee	BD	BD1
Barsten	DE	DE1
Bartholomew	P	P1
BartholomewSD	BD	BD2
Bartholomune	BE	BE1
Bartimeaus	A	A4
Basato	B	B1
Basilisk	AS	AS1
Bask21	E	None
Basquiat	C	C1
Batiatus	F	F1
BatStarr	CZ	CZ1
BatteryCK	B	B1
Battleship	A	A15
Battuta	BE	BE2
Baudelaire	L	L5
Bauer	FN	None
Baumdotcom	DE	DE1
Bavilard	CT	None
BaxterFox	CZ	CZ3
BayC	BG	None
Bazzle	L	L2
BBQValindra	DB	None
Beagle	AP	AP2
Beaglebox	B	B1
Beakin	F	F1
Beans	AO	AO1
BeanWater	C	C1
BearBQ	DN	None
BeardedLady	BD	BD1
Beatrix	A	A1
BeatusComedenti	AT	None
Beaupre	AZ	AZ5
BeautPeep30	EA	EA1
Beauxregard13	A	A3
Beaver	CS	CS2
Beckerton	H	H1
Becksu	E	None
Bedetta	AS	AS2
Bee17	GE	None
BeeBee8	EA	EA1
BeeGee	CY	CY5
Beelzebub	S	None
Beem	J	None
Beemo	A	A9
Beenie	CZ	CZ4
BeesKnees	A	A1
BEEST	K	K1
Beethoven	AK	None
Beezoo	K	K1
Begonia	CV	None
Beleetus	BS	None
Belenaria	CA	None
Belfort	BK	BK1
Belieber	C	C1
Bella96	K	K1
Belladonna	K	K1
Bellis	L	L3
Bellris	A	A9
BellusTerra	A	A4
BelmontSKP	EB	None
Belphegor	DE	DE2
Belthelas	EE	None
Ben11	B	B3
Bench	E	None
BenchScraper	AY	None
Benczkowski14	CS	CS4
Benedict	A	A5
Bengal	EB	None
BengiVuitton	A	A2
BenitoAntonio	AM	None
Benjalauren	EA	EA1
Benllo	AM	None
Bennie	AK	None
BenoitCattle	CS	CS2
Benry	EJ	None
BENtherdunthat	DN	DN1
Benvolio	A	A2
Berka	FE	None
Bern	K	K1
Bernal13	T	None
Bernardo	B	B3
Bernstein	EB	None
Berrie	AZ	AZ1
Berries	CS	CS3
Beted	DQ	None
Bethlehem	A	A1
BetterKatz	DI	None
BetterYeti	DJ	None
Beuffert	BK	BK1
Bexan	A	A1
Beyoncage	DG	DG1
Bezza	C	C1
BGlluviae	K	K1
Bhageatrice	AY	None
Bhagsy	P	P1
Bialota	CZ	CZ1
BiancaTri92	A	A2
Bianmat	CS	CS3
Bibble12	AS	AS2
Bibwit	DE	DE1
Big3	A	A1
Big4	GD	GD2
BigBoyz	GH	None
BigBubba	E	None
BigCheese	L	L2
Bigchungi	A	A1
BigChungus	CT	None
BigCity	C	C1
BigDome	AO	AO2
Bigflo	A	A3
Bigfoot	A	A1
BiggityBass	DR	None
Biglebops	K	K1
BigMack	AK	None
BigMama	D	D1
BigMau	A	A1
BigNuz	P	P4
BigPaolini	A	A1
BigPhil	F	F1
BigRedClifford	EA	EA1
BigShaq	CS	CS2
Bigswole	C	C1
BilboSwaggins	E	None
BillDoor	CT	None
BillKnuckles	A	A1
BillNye	BK	BK2
BillyBobJr	CS	CS2
BillyTP	AY	None
Bilo	BI	BI2
Bimmel	BT	None
Bing	BI	BI5
BinkBonk	EE	None
Bintii	EE	None
Bioscum	BC	BC3
Biozilla	EK	EK1
BiPauneto	CR	CR4
Bipolar	F	F1
Bipolarisk	C	C1
Bipper	Y	None
Birchlyn	BE	BE2
Bircsak	A	A1
Birdfeeder	EK	EK1
BirdInFrench	EG	None
BirdsNest	B	B13
Birdsong	DN	None
BirksAndSocks	CS	CS2
BirthdayBoy	DV	None
Biscayne	EE	None
Biscute	AU	AU6
Bishoperium	B	B1
Biskit	CT	None
BiteSize	DG	DG1
Bizzy	DE	DE1
Bjanes7	CZ	CZ2
Blab	EG	None
Blackbeetle	S	None
Blackbrain	C	C1
Blackdragon	C	C1
Blackmoor	A	A4
Blackpen	DR	None
BlackSpider	FN	None
BlackStallion	B	B1
Blage	EA	EA1
Blair	AN	None
Blarby	F	None
Blesser	A	A1
Blessica	O	None
BlessJoy	A	A6
Blett	GA	None
Blexus	F	F1
BlingBling	CV	None
Blinn1	A	A6
Blino	CV	None
Blizzard	K	K1
Blocker23	B	B2
Blondies	CT	None
Bloom	FC	None
Blubba	C	C1
Blue	A	A1
Blue7	A	A6
Blueberry	CV	None
BlueBird	A	A3
BlueCrab	F	F1
Blueeyedbeauty	BK	BK1
Bluefalcon	A	A5
BlueFeather	FE	None
BlueHusk	B	B1
BlueNGold	DS	None
BlueOtter	BE	BE1
Bluephacebaby	B	B1
BluerMoon	DJ	None
BlueRugrat	EK	EK1
BlueShadow	AY	None
BluSpix	A	A1
Bmoc	BE	BE1
Bob3	A	A1
BobaPhett	F	F1
BobBob	DE	DE1
Bobby	J	None
BobbyDazzler	CA	None
BobbyK	B	B4
Bobi	F	F1
Bobquesha	K	K4
BobRoss2024	DR	None
BobsGarage	L	L2
BobSwaget	A	A2
Bock	DI	None
Bodacious	AK	None
BodEinwohner17	F	F1
Bodhi17	EE	None
Boehler	B	B1
Boersma	AQ	None
Bogg	E	None
Bogie	P	P1
BogosyJay	A	A9
Bogota	BH	None
Boiiii	K	K1
Boilgate	K	K8
Bolt007	FH	None
Bombitas	J	None
Bombshell	A	A4
BonaeVitae	EE	None
Bonamassa	A	A5
Bonanza	CA	None
Boneham	CS	CS2
Bones	A	A1
BonesMcCoy	EA	EA1
Bongo	M	M1
Bonino	EA	EA1
Bonray	C	C1
Bonum	CR	CR2
Boog	AW	None
Boohoo	A	A15
Boomer	F	F1
BoomerJR	BE	BE2
BoomRoasted	EE	None
Boopy	DS	None
BoostSeason	K	K2
Bora	O	None
Bordeaux	BE	BE2
Bosection6	N	None
Bosnia	CZ	CZ1
BossLady	AO	AO2
BotCity	DN	None
Bouchard	AU	AU2
BouleyBill	EA	EA4
BourbonZero	L	L3
Bovely	BD	BD1
Bowden	BD	BD2
Bowling	AM	None
Bowser	DB	None
Bowtie	A	A11
Boyle	B	B2
BoyNamedSue	CZ	CZ1
BPBiebs31	A	A1
BPs	G	G1
BQuat	G	G1
Brad	AV	None
Bradissa	CY	CY1
Bradley2	EE	None
Bradman	A	A2
Bradshaw	CA	None
Braelyn	BE	BE1
Brahms	EB	None
BrainDrainer	L	L4
Bramble	EF	None
Bran	EP	None
Brandonk123	DE	DE1
Brataylor	BD	BD1
Brave	JB	JB1
Braxoaddie	CR	CR6
BrayBeast	FB	None
BrazzalePHS	EC	None
Bread	C	C1
