genome,genome_length_bp,total_cds,known_function_cds,hypothetical_cds,pct_known_cds,pct_hypothetical_cds,known_function_bp,hypothetical_bp,noncoding_bp,pct_genome_known,pct_genome_hypothetical,pct_genome_noncoding,cds_with_cog,cds_with_ec,cds_with_gene_name,tier_named_cog_ec,tier_named_cog,tier_named_only,tier_hypothetical,feature_tRNA,feature_repeat_region,feature_tmRNA
FO3A_23_KMC_reoriented_merged,5010387,4502,3048,1454,67.7,32.3,3201606,1082214,726567,63.9,21.6,14.5,2334,1513,2971,1208,1126,714,1454,77,4.0,1
J100_22_reoriented_merged,5051971,4444,3181,1263,71.6,28.4,3358041,1013427,680503,66.5,20.1,13.5,2427,1561,3081,1245,1182,754,1263,78,,1
J101_22_reoriented_merged,6445171,5750,3615,2135,62.9,37.1,4013907,1711296,719968,62.3,26.6,11.2,2146,1901,3381,1123,1023,1469,2135,69,,1
J102_22_reoriented_merged,5036868,4426,3172,1254,71.7,28.3,3372576,977577,686715,67.0,19.4,13.6,2438,1546,3073,1237,1201,734,1254,77,2.0,1
J103_22_reoriented_merged,5190493,4681,3086,1595,65.9,34.1,3242907,1194501,753085,62.5,23.0,14.5,2357,1514,3006,1212,1145,729,1595,77,4.0,1
J104_22_reoriented_merged,5192951,4681,3090,1591,66.0,34.0,3245673,1193607,753671,62.5,23.0,14.5,2358,1516,3009,1214,1144,732,1591,77,4.0,1
J105_22_reoriented_merged,3274960,3028,1452,1576,48.0,52.0,1563615,1358604,352741,47.7,41.5,10.8,920,915,1356,585,335,532,1576,87,,1
J106_22_reoriented_merged,5090450,4615,3046,1569,66.0,34.0,3184503,1159098,746849,62.6,22.8,14.7,2337,1503,2962,1201,1136,709,1569,77,4.0,1
J108_22_reoriented_merged,4887147,4360,3021,1339,69.3,30.7,3171744,1000344,715059,64.9,20.5,14.6,2324,1500,2946,1203,1121,697,1339,77,4.0,1
J109_23_reoriented_merged,6956593,6152,3893,2259,63.3,36.7,4359996,1820271,776326,62.7,26.2,11.2,2267,2025,3632,1146,1121,1626,2259,69,,1
J10_21_reoriented_merged,4958055,4309,3119,1190,72.4,27.6,3352023,905205,700827,67.6,18.3,14.1,2375,1561,3037,1224,1151,744,1190,80,2.0,1
J115_23_reoriented_merged,4930635,4357,3056,1301,70.1,29.9,3207717,1069125,653793,65.1,21.7,13.3,2345,1508,2974,1209,1136,711,1301,77,4.0,1
J116_23_reoriented_merged,5033111,4432,3133,1299,70.7,29.3,3361521,986859,684731,66.8,19.6,13.6,2384,1560,3048,1227,1157,749,1299,76,2.0,1
J117_23_reoriented_merged,5058500,4424,3079,1345,69.6,30.4,3290439,1103319,664742,65.0,21.8,13.1,2349,1513,2982,1204,1145,730,1345,76,3.0,1
J118_23_reoriented_merged,5049502,4405,3127,1278,71.0,29.0,3362820,990138,696544,66.6,19.6,13.8,2380,1567,3045,1234,1146,747,1278,78,2.0,1
J119_23_reoriented_merged,4930645,4355,3056,1299,70.2,29.8,3206922,1070253,653470,65.0,21.7,13.3,2347,1507,2974,1209,1138,709,1299,77,4.0,1
J11_21_reoriented_merged,4958088,4315,3123,1192,72.4,27.6,3352044,903909,702135,67.6,18.2,14.2,2377,1564,3041,1227,1150,746,1192,80,2.0,1
J121_23_reoriented_merged,5040008,4417,3129,1288,70.8,29.2,3363609,980040,696359,66.7,19.4,13.8,2386,1560,3047,1229,1157,743,1288,77,2.0,1
J125_23_reoriented_merged,5017190,4386,3143,1243,71.7,28.3,3369660,957432,690098,67.2,19.1,13.8,2392,1567,3058,1229,1163,751,1243,77,2.0,1
J126_23_reoriented_merged,4997143,4370,3128,1242,71.6,28.4,3355056,942615,699472,67.1,18.9,14.0,2387,1564,3048,1231,1156,741,1242,78,2.0,1
J127_23_reoriented_merged,4930642,4361,3055,1306,70.1,29.9,3206628,1070418,653596,65.0,21.7,13.3,2343,1506,2974,1206,1137,712,1306,77,4.0,1
