genome,genome_length_bp,total_cds,known_function_cds,hypothetical_cds,pct_known_cds,pct_hypothetical_cds,known_function_bp,hypothetical_bp,noncoding_bp,pct_genome_known,pct_genome_hypothetical,pct_genome_noncoding,cds_with_cog,cds_with_ec,cds_with_gene_name,tier_named_cog_ec,tier_named_cog,tier_named_only,tier_hypothetical,feature_tRNA,feature_rRNA,feature_tmRNA
Kp_KU1,5445670,5162,4006,1156,77.6,22.4,4093668,711936,640066,75.2,13.1,11.8,3164,1924,3898,1639,1525,842,1156,90,25,1.0
Kp_KU10,4262629,3977,3151,826,79.2,20.8,3220881,524187,517561,75.6,12.3,12.1,2548,1532,3091,1339,1209,603,826,73,25,1.0
Kp_KU11,5649217,5286,3991,1295,75.5,24.5,4122441,848511,678265,73.0,15.0,12.0,3157,1920,3893,1634,1523,834,1295,84,25,1.0
Kp_KU12,5271431,5091,3721,1370,73.1,26.9,3790524,841371,639536,71.9,16.0,12.1,2954,1793,3619,1530,1424,767,1370,88,25,1.0
Kp_KU13,5717070,5491,4055,1436,73.8,26.2,4145175,894357,677538,72.5,15.6,11.9,3195,1931,3946,1645,1550,860,1436,88,25,1.0
Kp_KU2,5363689,5044,3916,1128,77.6,22.4,4035123,710022,618544,75.2,13.2,11.5,3106,1884,3820,1612,1494,810,1128,87,25,1.0
Kp_KU3,5316131,5050,3829,1221,75.8,24.2,3919668,751323,645140,73.7,14.1,12.1,3018,1812,3731,1548,1470,811,1221,80,25,1.0
Kp_KU4,2733720,2625,2021,604,77.0,23.0,2038362,376467,318891,74.6,13.8,11.7,1591,980,1952,819,772,430,604,37,3,
Kp_KU5,5473804,5142,4005,1137,77.9,22.1,4114362,689220,670222,75.2,12.6,12.2,3169,1902,3898,1625,1544,836,1137,86,25,1.0
Kp_KU6,5114362,4839,3834,1005,79.2,20.8,3890973,610887,612502,76.1,11.9,12.0,3042,1869,3746,1607,1435,792,1005,81,25,1.0
Kp_KU7,5530884,5203,4050,1153,77.8,22.2,4167174,710745,652965,75.3,12.9,11.8,3202,1913,3939,1637,1565,848,1153,86,25,1.0
Kp_KU8,4228731,3931,3076,855,78.2,21.8,3172323,541350,515058,75.0,12.8,12.2,2464,1493,3024,1295,1169,612,855,73,25,1.0
Kp_KU9,5569364,5206,4062,1144,78.0,22.0,4170417,746667,652280,74.9,13.4,11.7,3209,1949,3947,1654,1555,853,1144,88,25,1.0
