20ES	KJ410132	NC_023597
244	DQ398041	NC_008194
32HC	KJ028219	NC_023602
39HC	KJ433973	NC_023603
40AC	KJ192196	NC_023607
40BC	KJ433975	
A3Wally	MZ150783	
Aaronocolus	KT124227	
Abba	MT024868	
AbbeyMikolon	MG593800	
AbbyDaisy	OR613473	
AbbyPaige	MH077576	
Abbyshoes	OL455898	
AbbysRanger	MN284905	
ABCat	KF188414	
Abdiel	KY083058	
Abidatro	MF140397	
Abigail	MZ322012	
Abinghost	MN444873	
Ablatia	PV940996	
Abrogate	KM597531	
Abscondus	PV251872	
AbsoluteMadLad	MN096366	
Abt2graduatex2	MF975638	
ABU	JF704091	
Acadian	JN699007	NC_023701
ACFishhook	MK284518	
Achebe	KY083059	
Acme	MG812486	
Acolyte	MH509441	
Acosta	PQ202989	
Acquire49	MK279905	
ActinUp	MH051246	
Adahisdi	MH697575	
Adaia	MH834594	
AdaS	PV876959	
Adat	MF668266	
Adawi	KF279411	NC_022328
AddiRose	PQ868986	
Adelaide	MK977715	
Adephagia	JF704105	
Adgers	MG757152	
Ading	MK359347	
Adjutor	EU676000	NC_010763
Adler	KC960489	
Adlitam	MK450427	
Adnama	MH371112	
Adolin	MN813676	
Adonis	MH001453	
Adora	MK061406	
Adriana	MT897901	
Adumb2043	MT889375	
Adzzy	KF416344	NC_022058
Aegeus	OR159668	
Aelin	MW534377	
Aeneas	JQ809703	NC_023723
Aesir	MT684592	
Affeca	MH976506	
AFIS	MK359300	
Aflac	MW862987	
Agape74	MZ820090	
Agatha	MK875795	
Agent47	PP978866	
Agente005	PP978889	
AgentM	MG099934	
Ageofdapage	OR521076	
Aggie	MH697576	
Aglet	KX507362	
AgronaGT15	MN585984	
Agueybana	MZ274304	
AikoCarson	MZ322013	
Aikoy	OR159654	
Ailee	MH976507	
Airmid	JN083853	
Ajay	MN062710	
Ajin	PP978814	
Akhila	MW924649	
Akino08	PV876947	
Akoma	JN699006	NC_023742
Akoni	MK757449	
AlainaMarie	MZ005675	
Alakazam	MT024862	
AlanGrant	KR080200	
Alatato	PV915846	
Alatin	MF324905	
Albanese	OP434444	
Albedo	OR475283	
Albee	KX817175	
Alberto7	PP725411	
Albright	MW601224	
Aledel	MK112526	
Aleemily	ON970578	
Alephilan	PV940995	
Alex	JX649100	
Alex44	MK894435	
AlexAdler	MG962360	
Alexphander	MG962361	
Ali17	MH669000	
Alice	JF704092	
AlishaPH	MH077577	
Aliter	MN369763	
Alkhayr	PV940988	
AllBusiness	PX121516	
Alleb	MK376963	
Allegro	MZ456036	
AlleyCat	MF185717	
Alma	JN699005	NC_023716
Aloeri	PV915895	
AloeVera	PP405138	
Alone3	OR725492	
Alpacados	MH271291	
AlpineSix	OR475249	
Alsaber	MG298964	
Alsfro	KJ174156	NC_023862
Altadena	OR521058	
Altman	OP820463	
Altostratus	PV915837	
AltPhacts	MG962362	
Altwerkus	MK112527	
Alucard	OR521072	
AlumE	MZ171374	
AluminumJesus	OM203157	
Alvin	KP027205	NC_026583
Alvy	MN234208	
Alyssamiracle	OR475254	
Alyxandracam	MN062713	
Amabiko	PP358748	
Amataga	MK359338	
Amavida	PQ244017	
Amela	KT186228	
Amelia	MN234214	
Amelie	KX808132	
AmericanBeauty	PQ559664	
Amethyst	MF766044	
Amgine	MF324915	
AmiCi24	PV915815	
Amigo	KU160638	
Aminay	MH509442	
Amochick	MH697577	
Amohnition	MF140398	
Amok	OL829977	
Amore2	ON526973	
Amyev	OL549191	
Amymech	OP297533	
AN3	MT310886	
AN9	MT310885	
Anakin	MK801731	
Anamika	MG099935	
Anansi	KU160639	
AnarQue	OK216879	
Anatole	KX620748	
Anaya	JF704106	
Anaysia	OP021679	
AnClar	MN908693	
Anderson	MW534380	
Andies	MG099936	
AndPeggy	MN586036	
Andre	PQ412545	
Andrew	MH834595	
Andris	OP751147	
Andromedas	MH590606	
Anedea	PP978811	
Aneem	MN703405	
Anekin	PQ362682	
Angel	FJ973624	NC_012788
Angela	ON970591	
AngelCake	PV915842	
Angelica	HM152764	NC_014458
Angelicage	MH651166	
Angelique	MH651167	
Anglerfish	MN119379	
AngryGiraffe	PX071750	
AngryOrchard	KY549153	
ANI8	MT310884	
Animus	MN234192	
Anjali	MK016490	
AnnabelLee	PV940993	
Annadreamy	MH536811	
AnnaL29	KF024721	NC_022087
AnnaLie	MT818427	
Annalisa	PV105556	
Annapurna	PV915857	
AnnaSerena	MH271292	
Annihilator	KT365399	
Annihilus	ON081336	
Annyong	MH051247	
Anon	MN369756	
Anselm	MF919490	
Anseraureola	ON108642	
Antares	MN444877	
Anthony	MN234188	
Antoinette	MH045565	
Antonia	MK279910	
Antonio	MK814755	
Antrice	PV876979	
Antsirabe	MN234183	
Antuna	ON260825	
Anubis	KF279418	NC_029018
Aoka	ON755180	
Apeppi	PQ362684	
Apex	MN428050	
Aphelion	MK376959	
Apiary	OR434026	
Apizium	KR781349	
Apocalypse	MF668267	
ApoKipo	PX234437	
Appa	MH153799	
AppleCider	MN735429	
AppleCloud	MF324903	
Applecrisp	PV915851	
Applejack	PP978873	
Appletree2	MF185726	
Apricot	MH536812	
APunk	ON755186	
Aquarius	MF919491	
Araceli	MN224564	
Aragog	MG099937	
AranulaLuti	OQ938577	
Arataki	PV915802	
Araxxi	MN062711	
Arbiter	JN618996	
Arby	MK737943	
Arcadia	MF189170	
Arcanine	MH744414	
ArcherNM	KU761559	
ArcherS7	KC748970	NC_021348
Archetta	MG099938	
ArchiDore	PV876927	
Archie	KT591489	
Archimedes	MT771339	
Archis	MT723942	
ArcusAngelus	MH744415	
Ardmore	GU060500	NC_013936
Ares	JN699004	
Arete	MT024863	
Argan	OR613480	
Argent26	ON970597	
Argie	MK494114	
Ariadne	MN585986	
Arianna	OP172878	
Arib1	MF919492	
Ariel	KM400683	
Arielagos	OR521077	
Aries55	MZ005676	
ArigunDD10	KR029087.1	
Arissanae	MK468591	
Arlo	MH576971	
ArMaWen	MK308638	
Armstrong	MH834596	
Aroostook	MF668268	
Arri	MK864266	
Arroyo	MK937610	
Artemis2UCLA	KF560333	NC_022977
Arti	OR434020	
Artorias	OR195047	
Arturo	JX307702	
ArV1	KM879463	NC_026606
ArV2	KF692088	NC_022972
Asa16	MZ681506	
Asapag	MK376961	
Asayake	MW712723	
Ascela	OQ709218	
ASegato	OR521059	
ASerpRocky	MN234166	
Ashballer	OR195043	
Ashertheman	MH651168	
Ashes	PQ868949	
Ashraf	KY385380	
Ashton	MT310875	
Ashwin	PP763601	
Asis	ON526979	
Asriel	MG872831	
Asta	PP978817	
Astartes	PP978838	
Asten	MK433276	
Asterius	PV105552	
Astraea	KC691257	NC_021349
Astralis	PV940990	
Astro	JX015524	
Astro16	OR475264	
ATCC29399BC	JX262225	NC_018851
ATCC29399BT	JX262224	NC_018847
Atcoo	MN585977	
Athena	JN699003	
Atiba	MN234230	
Atkinbua	MN813700	
Atlantean	MK359362	
Atlantica	PX136956	
Atraxa	MH834597	
Atraxi	MW291018	
Attacne	KR337651	
Attis	KU963247	
Attoomi	MG593801	
Atuin	OK040794	
Aubergine	MG839015	
Aubs	OP297542	
Audell	PV915817	
Audrey	KJ194581	
Audrick	MF919493	
AugsMagnumOpus	MH536813	
Auspice	OR253916	
Austelle	ON970575	
Austin	MW534374	
AustinPowers	PP978839	
Austintatious	MK305888	
Auxilium	MH834598	
Ava3	JQ911768	
AvadaKedavra	MN096382	
Avani	JQ809702	NC_023698
AvatarAhPeg	MK494129	
Avazak	MN585971	
AvGardian	MT310853	
Avian	PV941003	
Avle17	MH509443	
Avocado	MF141540	
Avocadoman	MT889372	
Avrafan	JN699002	
Avvas	PP978798	
Awesomesauce	MT553347	
AWGoat	PP978859	
AxeJC	ON392164	
Axiom	PV941002	
AxiPup	MG839016	
Axumite	ON081333	
Axym	MN444871	
Ayka	ON381767	
Ayotoya	MW534376	
Azathoth	MH576948	
Azira	OQ709211	
Aziz	MT658802	
Azizam	MN585990	
Azrael100	OR199846	
Aztec	MZ322008	
Azula	MT723935	
AzulaCat	PV876933	
B22	KX620750	
B3	KX620749	
BabeRuth	MK392367	
BaboJay	MK016491	
Babsiella	JN699001	NC_023697
BABullseye	OP434447	
Babushka	PV915904	
Baby16	MK359323	
BabyBack	PP758916	
BabyDaisy	OR521064	
BabyDotz	OR613478	
BabyGotBac	KY365739	
Babyland	OQ709204	
BabyRay	KX683423	
BabyYoda	MW601221	
Bachaco	PQ362671	
Bachita	KU998247	
Bachome	MN586006	
BackyardAgain	MT818416	
Backyardigan	JF704093	
BaconJack	MN617845	
Bactobuster	KU568494	
BadAgartude	MK359353	
Baddon	MZ681510	
Badfish	KJ194580	
Badger	 KX550442	
BadStone	MT114165	
Badulia	MZ150790	
Baee	KR080199	
Baehexic	KX683875	
BaghaKamala	MW712730	
BaileyBlu	OL455900	
Baine	PV915897	
Baines	MG839017	
BAjuniper	OQ938582	
BAKA	JF937090	
Bakery	MK937603	
Balomoji	PP978826	
Baloo	MG920059	
Balsa	MG839030	
BananaFence	MW712729	
Bananafish	MK814751	
Bandik	MH045554	
Bane2	KF279413	NC_022327
Bangla1971	MH825697	
BangNhom	MW291019	
