phage,genome_length_bp,total_cds,known_function_cds,unknown_function_cds,pct_known_cds,pct_unknown_cds,known_function_bp,unknown_function_bp,noncoding_bp,pct_genome_known,pct_genome_unknown,pct_genome_noncoding,method_foldseek,method_pharokka,method_none
Lelliottia_phage_Pantea,150009,298,119,179,39.9,60.1,92478,48444,9087,61.6,32.3,6.1,210,49,39
Lelliottia_phage_Rap,40557,64,30,34,46.9,53.1,27678,10908,1971,68.2,26.9,4.9,42,4,18
Lelliottia_phage_Zann,51744,97,41,56,42.3,57.7,34722,13467,3555,67.1,26.0,6.9,49,18,30
Morganella_phage_Rip,59319,86,44,42,51.2,48.8,41403,16338,1578,69.8,27.5,2.7,55,11,20
Morganella_phage_Rup,60952,84,45,39,53.6,46.4,43242,15993,1717,70.9,26.2,2.8,56,11,17
Morganella_phage_Slaad,43547,90,49,41,54.4,45.6,31437,10611,1499,72.2,24.4,3.4,56,11,23
Pectobacterium_phage_Abuela,41569,64,38,26,59.4,40.6,33246,6576,1747,80.0,15.8,4.2,42,5,17
Pectobacterium_phage_Amona,43283,71,41,30,57.7,42.3,33918,8196,1169,78.4,18.9,2.7,43,7,21
Pectobacterium_phage_Crus,45644,71,32,39,45.1,54.9,33183,11850,611,72.7,26.0,1.3,46,7,18
Pectobacterium_phage_Gander,45139,72,32,40,44.4,55.6,33639,10773,727,74.5,23.9,1.6,48,8,16
Pectobacterium_phage_Guf,44908,71,34,37,47.9,52.1,33822,10719,367,75.3,23.9,0.8,46,9,16
Pectobacterium_phage_Hoejben,45692,72,34,38,47.2,52.8,34308,10995,389,75.1,24.1,0.9,45,9,18
Pectobacterium_phage_Koroua,42423,68,37,31,54.4,45.6,32589,8439,1395,76.8,19.9,3.3,40,8,20
Pectobacterium_phage_Magnum,94385,185,63,122,34.1,65.9,55554,30138,8693,58.9,31.9,9.2,74,25,86
Pectobacterium_phage_Mimer,5802,7,6,1,85.7,14.3,5187,150,465,89.4,2.6,8.0,3,3,1
Pectobacterium_phage_Poppous,41927,63,38,25,60.3,39.7,33255,6651,2021,79.3,15.9,4.8,42,4,17
Pectobacterium_phage_Sabo,42244,64,39,25,60.9,39.1,34143,6354,1747,80.8,15.0,4.1,41,6,17
Pectobacterium_phage_Taid,40018,61,37,24,60.7,39.3,31965,6093,1960,79.9,15.2,4.9,41,4,16
Pectobacterium_phage_Vims,47310,90,37,53,41.1,58.9,31869,13485,1956,67.4,28.5,4.1,55,12,23
Pectobacterium_phage_Ymer,41356,64,38,26,59.4,40.6,33435,6615,1306,80.8,16.0,3.2,42,5,17
Serratia_phage_Echoes,59690,90,44,46,48.9,51.1,42333,15108,2249,70.9,25.3,3.8,60,11,19
Serratia_phage_Galvinrad,32655,48,19,29,39.6,60.4,21375,10245,1035,65.5,31.4,3.2,19,2,27
Serratia_phage_Uther,44796,69,35,34,50.7,49.3,32979,10176,1641,73.6,22.7,3.7,35,5,29
